label, time, delta, theta, lowAlpha, highAlpha, lowBeta, highBeta, lowGamma, highGamma
0,1.0273887329999951,114646,167277,55627,4150,10586,6378,4455,2167
0,1.9463646210000007,899555,107464,26290,18087,8431,6286,2502,2925
0,2.997499097000002,154325,199098,69593,30369,19124,6364,6900,6725
0,3.9824556960000024,36053,19816,5715,2420,622,2063,568,254
0,4.967381930000002,1273904,74103,9685,6448,11964,3526,611,815
1,1.008384614999997,138837,2387,1711,631,556,639,233,189
1,1.9513197610000077,1053805,128531,42876,22614,14542,9280,5856,2024
1,2.937706551000005,81735,31873,8572,8023,6413,4033,4138,1282
1,3.9847026260000007,141188,34188,5740,4924,5823,2802,1648,1633
1,4.9900999299999995,21560,66710,26532,11297,10225,18173,5071,2777
0,0.9032800459999919,735201,135157,61565,18706,15908,18846,5130,4155
0,1.931740512999994,1388358,306150,107610,49971,56048,33310,11444,3413
0,2.897788777999992,66660,23540,1310,1962,4080,4459,1882,1011
0,3.924650534999998,218249,42803,3825,6432,6008,3516,2973,801
1,0.001072675000017398,63329,23962,13192,6994,30943,13346,4359,3143
1,0.8621906740000043,927060,92738,19385,11147,10163,8138,2659,1869
1,1.8690770290000103,107440,29251,2360,1247,5331,797,270,297
1,2.8777769300000102,30761,19662,11418,2820,4942,5041,4968,3672
1,3.8823613860000137,99740,288560,22789,4844,18701,22445,8642,4597
1,4.865913424000013,106963,18581,12723,17577,26409,19115,9226,3436
0,0.8552393300000176,589634,237508,29705,60629,84963,73774,30083,9585
0,1.8392115999999987,160101,19179,4660,2308,818,920,147,130
0,2.821129872,57177,24211,1919,18976,3166,7584,3120,1651
0,3.933493045000006,31219,9411,7804,3034,4172,6745,2352,1179
0,4.859894976000021,516481,96203,16109,7913,41060,31014,13933,10743
1,0.7969193749999874,345433,24536,12006,4985,3103,2613,2207,1152
1,1.8026090859999897,99049,10469,1014,1540,1390,611,390,146
1,2.8462985059999824,229427,57022,6282,479,5055,4811,1862,850
1,3.7871844750000037,10944,7291,2769,2248,4366,2511,2603,2598
1,4.772058703999988,9610,9680,19908,2102,2692,5367,5661,6294
0,0.7796528810000041,30250,48709,4493,14365,50536,37437,6091,4740
0,1.7642841859999976,154475,13711,7607,4665,3512,318,397,312
0,2.8500281130000076,1179532,73543,7706,8401,6890,3646,1392,1308
0,3.794835345000024,469647,322048,55922,18604,16151,9622,2598,3599
0,4.758569843000004,195756,15909,1096,8595,8487,2157,860,1644
1,0.7101340279999988,99281,27946,15332,4276,4447,5729,7995,3450
1,1.759614776999996,158323,72023,50329,11514,9641,4733,1142,1681
1,2.7201566319999984,287689,147027,14365,8258,5807,10270,5634,3182
